# bin,bin_content
-3.3200e+00,0.0000e+00
-3.1800e+00,0.0000e+00
-3.0400e+00,0.0000e+00
-2.9000e+00,4.2766e-03
-2.7600e+00,3.9202e-03
-2.6200e+00,1.3305e-02
-2.4800e+00,2.5065e-02
-2.3400e+00,5.4170e-02
-2.2000e+00,1.0988e-01
-2.0600e+00,1.9933e-01
-1.9200e+00,2.3592e-01
-1.7800e+00,1.8710e-01
-1.6400e+00,8.8382e-02
-1.5000e+00,3.8608e-02
-1.3600e+00,1.5087e-02
-1.2200e+00,8.4343e-03
-1.0800e+00,3.8014e-03
-9.4000e-01,1.5443e-03
-8.0000e-01,7.1276e-04
-6.6000e-01,3.5638e-04
-5.2000e-01,2.3759e-04
-3.8000e-01,0.0000e+00
-2.4000e-01,0.0000e+00
